sample,T_den,T_fue,H_den,H_fue,V_te,V_hu,Pen,N_ind,T_par,N_par
S01,23.6,27.2,55.3,54.1,3.64,1.20,18.36,0.20,0.72,19
S02,23.8,27.4,52.3,51.6,3.64,0.72,13.36,0.58,0.75,20
S03,23.9,27.3,52.3,52.2,3.38,0.13,16.60,0.38,0.90,19
S04,24.3,27.0,53.2,53.6,2.67,0.42,14.00,0.24,1.09,13
S05,24.3,27.0,52.2,52.1,2.68,0.02,10.74,0.53,0.40,27
S06,24.0,26.7,53.6,53.8,2.70,0.28,7.76,0.17,0.80,6
S07,22.3,24.4,61.4,60.7,2.12,0.72,19.20,0.27,0.57,27
S08,23.0,25.6,57.8,57.6,2.62,0.24,15.42,0.44,0.42,25
S09,23.2,26.9,54.5,54.6,3.70,0.10,15.00,0.03,0.63,2
S10,24.1,25.6,57.0,57.0,1.56,0.06,8.90,0.34,0.20,15
S11,22.7,25.5,58.4,58.1,2.78,0.34,15.82,0.24,0.61,37
S12,23.8,26.8,53.7,54.0,3.00,0.25,12.20,0.11,0.92,2
S13,31.9,31.5,50.1,50.0,0.40,0.04,6.46,0.08,0.63,7
S14,29.4,29.5,55.0,55.2,0.16,0.20,8.42,0.08,1.00,6
S15,33.6,33.6,47.6,46.8,0.02,0.80,13.34,0.05,0.69,4
