fecha_hora,zona_alta,zona_media,zona_baja
09/22/2024 09:35:00,16.171,17.001,17.655
09/22/2024 09:36:00,16.385,17.026,17.674
09/22/2024 09:37:00,16.385,17.037,17.701
09/22/2024 09:38:00,15.827,17.044,17.719
09/22/2024 09:39:00,15.827,17.063,17.743
09/22/2024 09:40:00,15.956,17.089,17.763
09/22/2024 09:41:00,15.956,17.084,17.770
09/22/2024 09:42:00,15.913,17.109,17.790
09/22/2024 09:43:00,15.913,17.132,17.801
09/22/2024 09:44:00,16.128,17.137,17.820
09/22/2024 09:45:00,16.214,17.153,17.824
09/22/2024 09:46:00,16.214,17.171,17.849
09/22/2024 09:47:00,16.085,17.194,17.867
09/22/2024 09:48:00,16.214,17.198,17.896
09/22/2024 09:49:00,16.385,17.214,17.909
09/22/2024 09:50:00,16.385,17.229,17.946
09/22/2024 09:51:00,16.600,17.257,17.963
09/22/2024 09:52:00,16.771,17.272,17.973
09/22/2024 09:53:00,16.771,17.281,17.992
09/22/2024 09:54:00,16.600,17.293,18.011
09/22/2024 09:55:00,16.728,17.310,18.019
09/22/2024 09:56:00,16.728,17.329,18.037
09/22/2024 09:57:00,16.728,17.331,18.048
09/22/2024 09:58:00,16.728,17.357,18.071
09/22/2024 09:59:00,16.728,17.360,18.101
09/22/2024 10:00:00,16.728,17.378,18.111
09/22/2024 10:01:00,16.685,17.401,18.125
09/22/2024 10:02:00,16.728,17.404,18.144
09/22/2024 10:03:00,16.685,17.425,18.165
09/22/2024 10:04:00,16.685,17.437,18.191
09/22/2024 10:05:00,16.685,17.455,18.190
09/22/2024 10:06:00,16.685,17.457,18.216
09/22/2024 10:07:00,16.814,17.477,18.243
09/22/2024 10:08:00,16.900,17.501,18.243
09/22/2024 10:09:00,16.814,17.501,18.283
09/22/2024 10:10:00,16.943,17.543,18.283
09/22/2024 10:11:00,16.943,17.543,18.313
09/22/2024 10:12:00,17.072,17.629,18.327
09/22/2024 10:13:00,17.072,17.586,18.347
09/22/2024 10:14:00,17.072,17.543,18.352
09/22/2024 10:15:00,17.029,17.372,18.381
09/22/2024 10:16:00,17.029,17.243,18.395
09/22/2024 10:17:00,17.072,17.200,18.426
09/22/2024 10:18:00,17.029,17.243,18.430
09/22/2024 10:19:00,17.114,17.286,18.452
09/22/2024 10:20:00,17.286,17.286,18.468
09/22/2024 10:21:00,17.329,17.329,18.491
09/22/2024 10:22:00,17.286,17.415,18.516
09/22/2024 10:23:00,17.458,17.501,18.524
09/22/2024 10:24:00,17.543,17.586,18.546
09/22/2024 10:25:00,17.543,17.801,18.552
09/22/2024 10:26:00,17.844,18.015,18.579
09/22/2024 10:27:00,18.144,18.187,19.217
09/22/2024 10:28:00,18.101,18.144,18.487
09/22/2024 10:29:00,18.101,18.230,18.144
09/22/2024 10:30:00,18.144,18.273,18.144
09/22/2024 10:31:00,18.359,18.230,18.144
09/22/2024 10:32:00,18.573,18.316,18.144
09/22/2024 10:33:00,18.702,18.316,18.144
09/22/2024 10:34:00,18.788,18.444,18.144
09/22/2024 10:35:00,19.002,18.573,18.187
09/22/2024 10:36:00,19.045,18.702,18.316
09/22/2024 10:37:00,19.088,18.830,18.273
09/22/2024 10:38:00,19.131,18.916,18.273
09/22/2024 10:39:00,19.045,19.045,18.359
09/22/2024 10:40:00,19.345,19.045,18.616
09/22/2024 10:41:00,19.174,19.131,18.745
09/22/2024 10:42:00,18.959,19.174,18.830
09/22/2024 10:43:00,18.916,19.217,19.002
09/22/2024 10:44:00,19.045,19.302,18.959
09/22/2024 10:45:00,19.174,19.388,18.916
09/22/2024 10:46:00,19.045,19.431,18.873
09/22/2024 10:47:00,19.345,19.474,18.959
09/22/2024 10:48:00,19.646,19.560,18.916
09/22/2024 10:49:00,19.603,19.689,19.002
09/22/2024 10:50:00,19.646,19.731,19.002
09/22/2024 10:51:00,19.646,19.946,19.002
09/22/2024 10:52:00,19.689,19.989,19.131
09/22/2024 10:53:00,19.817,19.989,19.217
09/22/2024 10:54:00,19.946,20.332,19.217
09/22/2024 10:55:00,20.203,20.504,19.302
09/22/2024 10:56:00,20.375,20.418,19.302
09/22/2024 10:57:00,20.160,20.461,19.302
09/22/2024 10:58:00,19.989,20.461,19.302
09/22/2024 10:59:00,20.075,20.504,19.302
09/22/2024 11:00:00,19.989,20.461,19.260
09/22/2024 11:01:00,19.946,20.504,19.302
09/22/2024 11:02:00,19.860,20.547,19.431
09/22/2024 11:03:00,19.946,20.504,19.474
09/22/2024 11:04:00,20.032,20.461,19.431
09/22/2024 11:05:00,20.075,20.547,19.345
09/22/2024 11:06:00,19.903,20.332,19.217
09/22/2024 11:07:00,19.946,20.332,19.302
09/22/2024 11:08:00,19.946,20.289,19.302
09/22/2024 11:09:00,20.289,20.160,19.345
09/22/2024 11:10:00,20.160,20.032,19.388
09/22/2024 11:11:00,20.246,20.160,19.517
09/22/2024 11:12:00,20.332,20.289,19.646
09/22/2024 11:13:00,20.461,20.332,19.474
09/22/2024 11:14:00,20.075,20.504,19.560
09/22/2024 11:15:00,20.160,20.418,19.560
09/22/2024 11:16:00,20.246,20.418,19.560
09/22/2024 11:17:00,20.203,20.246,19.560
09/22/2024 11:18:00,20.118,20.203,19.517
09/22/2024 11:19:00,20.203,20.375,19.603
09/22/2024 11:20:00,20.375,20.375,19.689
09/22/2024 11:21:00,20.418,20.547,19.689
09/22/2024 11:22:00,20.289,20.718,19.646
09/22/2024 11:23:00,20.332,20.547,19.689
09/22/2024 11:24:00,20.246,20.547,19.689
09/22/2024 11:25:00,20.160,20.461,19.817
09/22/2024 11:26:00,19.989,20.504,19.817
09/22/2024 11:27:00,20.118,20.547,19.946
09/22/2024 11:28:00,19.860,20.375,19.946
09/22/2024 11:29:00,19.817,20.246,19.946
09/22/2024 11:30:00,19.774,20.246,19.903
09/22/2024 11:31:00,20.075,20.118,19.903
09/22/2024 11:32:00,20.118,20.160,19.946
09/22/2024 11:33:00,20.160,20.332,20.118
09/22/2024 11:34:00,20.032,20.375,20.032
09/22/2024 11:35:00,20.118,20.289,20.118
09/22/2024 11:36:00,20.203,20.332,20.075
09/22/2024 11:37:00,20.203,20.504,20.032
09/22/2024 11:38:00,20.761,20.589,20.246
09/22/2024 11:39:00,20.718,20.589,20.375
09/22/2024 11:40:00,20.589,20.632,20.332
09/22/2024 11:41:00,20.547,20.761,20.332
09/22/2024 11:42:00,20.332,20.547,20.375
09/22/2024 11:43:00,20.160,20.761,20.246
09/22/2024 11:44:00,20.118,20.890,20.332
09/22/2024 11:45:00,20.203,21.018,20.246
09/22/2024 11:46:00,19.903,20.976,20.289
09/22/2024 11:47:00,20.118,21.061,20.461
09/22/2024 11:48:00,20.589,21.018,20.547
09/22/2024 11:49:00,20.547,21.018,20.718
09/22/2024 11:50:00,20.632,21.061,20.718
09/22/2024 11:51:00,20.632,20.933,20.761
09/22/2024 11:52:00,20.418,21.018,20.718
09/22/2024 11:53:00,20.547,20.976,20.675
09/22/2024 11:54:00,20.504,20.933,20.589
09/22/2024 11:55:00,20.332,20.976,20.675
09/22/2024 11:56:00,20.418,20.890,20.718
09/22/2024 11:57:00,20.375,20.976,20.675
09/22/2024 11:58:00,20.418,20.890,20.718
09/22/2024 11:59:00,20.547,21.018,20.632
09/22/2024 12:00:00,20.547,21.061,20.718
09/22/2024 12:01:00,20.589,20.976,20.718
09/22/2024 12:02:00,20.418,20.976,20.632
09/22/2024 12:03:00,20.461,20.933,20.632
09/22/2024 12:04:00,20.332,20.976,20.589
09/22/2024 12:05:00,20.547,21.061,20.632
09/22/2024 12:06:00,20.933,21.276,20.675
09/22/2024 12:07:00,21.061,21.319,20.761
09/22/2024 12:08:00,20.933,21.319,20.890
09/22/2024 12:09:00,20.804,21.319,20.933
09/22/2024 12:10:00,20.890,21.276,20.933
09/22/2024 12:11:00,20.761,21.233,20.890
09/22/2024 12:12:00,20.718,21.276,20.933
09/22/2024 12:13:00,20.847,21.190,20.976
09/22/2024 12:14:00,20.675,21.061,21.018
09/22/2024 12:15:00,20.504,21.018,20.890
09/22/2024 12:16:00,20.504,20.933,20.804
09/22/2024 12:17:00,20.332,20.804,20.804
09/22/2024 12:18:00,20.418,20.718,20.718
09/22/2024 12:19:00,20.203,20.718,20.761
09/22/2024 12:20:00,20.461,20.761,20.804
09/22/2024 12:21:00,20.547,20.890,20.718
09/22/2024 12:22:00,20.375,20.804,20.675
09/22/2024 12:23:00,20.418,20.890,20.589
09/22/2024 12:24:00,20.504,20.976,20.589
09/22/2024 12:25:00,20.761,21.147,20.547
09/22/2024 12:26:00,20.761,21.190,20.547
09/22/2024 12:27:00,20.675,21.147,20.632
09/22/2024 12:28:00,20.632,21.104,20.675
09/22/2024 12:29:00,20.718,21.104,20.547
09/22/2024 12:30:00,20.976,21.018,20.589
09/22/2024 12:31:00,20.632,21.104,20.632
09/22/2024 12:32:00,20.847,21.362,20.675
09/22/2024 12:33:00,21.147,21.405,20.718
09/22/2024 12:34:00,21.233,21.319,20.718
09/22/2024 12:35:00,21.276,21.405,20.761
09/22/2024 12:36:00,21.533,21.533,20.933
09/22/2024 12:37:00,21.447,22.005,21.061
09/22/2024 12:38:00,21.748,22.005,21.104
09/22/2024 12:39:00,21.962,22.220,21.233
09/22/2024 12:40:00,22.305,22.263,21.405
09/22/2024 12:41:00,22.477,22.520,21.576
09/22/2024 12:42:00,22.734,22.734,21.791
09/22/2024 12:43:00,22.305,22.906,22.048
09/22/2024 12:44:00,22.649,23.035,22.220
09/22/2024 12:45:00,22.820,23.035,22.177
09/22/2024 12:46:00,22.777,23.078,22.220
09/22/2024 12:47:00,22.992,23.121,22.305
09/22/2024 12:48:00,23.078,23.163,22.177
09/22/2024 12:49:00,23.121,23.078,22.177
09/22/2024 12:50:00,22.949,23.121,22.134
09/22/2024 12:51:00,22.992,22.992,22.134
09/22/2024 12:52:00,22.949,23.035,22.220
09/22/2024 12:53:00,22.906,23.292,22.305
09/22/2024 12:54:00,23.035,23.378,22.434
09/22/2024 12:55:00,23.121,23.507,22.520
09/22/2024 12:56:00,23.121,23.764,22.820
09/22/2024 12:57:00,23.335,23.850,22.949
09/22/2024 12:58:00,23.249,23.893,23.163
09/22/2024 12:59:00,23.249,24.064,23.550
09/22/2024 13:00:00,23.292,24.193,23.764
09/22/2024 13:01:00,23.378,24.236,23.764
09/22/2024 13:02:00,23.292,24.193,23.936
09/22/2024 13:03:00,23.721,24.365,23.936
09/22/2024 13:04:00,24.021,24.365,24.064
09/22/2024 13:05:00,24.408,24.365,24.021
09/22/2024 13:06:00,24.536,24.365,24.021
09/22/2024 13:07:00,24.450,24.536,23.936
09/22/2024 13:08:00,24.064,24.408,24.021
09/22/2024 13:09:00,23.249,24.579,24.150
09/22/2024 13:10:00,23.378,24.579,24.193
09/22/2024 13:11:00,22.906,24.536,24.064
09/22/2024 13:12:00,23.121,24.322,24.107
09/22/2024 13:13:00,23.121,24.064,24.021
09/22/2024 13:14:00,23.678,24.150,23.979
09/22/2024 13:15:00,24.279,24.021,24.021
09/22/2024 13:16:00,24.665,24.236,24.107
09/22/2024 13:17:00,24.837,24.365,24.193
09/22/2024 13:18:00,24.622,24.622,24.450
09/22/2024 13:19:00,25.266,25.351,24.922
09/22/2024 13:20:00,25.351,26.166,25.823
09/22/2024 13:21:00,24.965,26.724,26.252
09/22/2024 13:22:00,24.450,26.724,26.467
09/22/2024 13:23:00,24.279,26.381,26.381
09/22/2024 13:24:00,24.622,26.252,26.252
09/22/2024 13:25:00,24.879,26.124,26.467
09/22/2024 13:26:00,25.909,26.467,26.424
09/22/2024 13:27:00,26.939,26.467,26.424
09/22/2024 13:28:00,27.840,26.724,26.553
09/22/2024 13:29:00,27.925,26.724,26.595
09/22/2024 13:30:00,28.397,26.553,26.338
09/22/2024 13:31:00,28.526,26.724,26.424
09/22/2024 13:32:00,28.097,27.153,26.810
09/22/2024 13:33:00,28.311,27.582,26.724
09/22/2024 13:34:00,28.740,27.882,26.767
09/22/2024 13:35:00,28.612,28.054,26.767
09/22/2024 13:36:00,28.526,28.140,26.681
09/22/2024 13:37:00,28.311,27.840,26.896
09/22/2024 13:38:00,28.869,27.754,27.067
09/22/2024 13:39:00,29.255,27.840,26.767
09/22/2024 13:40:00,28.440,27.754,26.767
09/22/2024 13:41:00,28.226,27.925,26.853
09/22/2024 13:42:00,28.998,28.011,26.553
09/22/2024 13:43:00,29.127,27.840,26.424
09/22/2024 13:44:00,29.127,27.882,25.995
09/22/2024 13:45:00,28.526,27.582,25.695
09/22/2024 13:46:00,27.196,27.453,25.566
09/22/2024 13:47:00,26.939,28.054,25.523
09/22/2024 13:48:00,27.325,28.269,25.480
09/22/2024 13:49:00,27.411,28.440,25.523
09/22/2024 13:50:00,27.754,28.140,25.609
09/22/2024 13:51:00,27.496,28.526,25.566
09/22/2024 13:52:00,27.196,28.526,25.566
09/22/2024 13:53:00,26.982,28.998,25.566
09/22/2024 13:54:00,27.067,29.084,25.695
09/22/2024 13:55:00,26.939,29.513,25.780
09/22/2024 13:56:00,26.982,29.513,25.780
09/22/2024 13:57:00,27.153,29.169,25.737
09/22/2024 13:58:00,27.153,29.169,25.609
09/22/2024 13:59:00,26.810,29.084,25.566
09/22/2024 14:00:00,26.467,28.955,25.652
09/22/2024 14:01:00,26.638,29.470,25.737
09/22/2024 14:02:00,26.982,29.556,25.909
09/22/2024 14:03:00,26.510,29.427,25.909
