hora,zona_alta,zona_media,zona_baja
10:11:00 AM,22.885,19.815,20.418
10:12:00 AM,22.813,19.946,19.689
10:13:00 AM,22.858,20.119,20.032
10:14:00 AM,22.869,20.296,20.289
10:15:00 AM,22.908,20.393,20.118
10:16:00 AM,22.890,20.543,19.903
10:17:00 AM,22.895,20.804,20.160
10:18:00 AM,22.999,21.233,20.375
10:19:00 AM,22.899,21.533,20.632
10:20:00 AM,23.068,21.876,20.632
10:21:00 AM,23.089,21.662,20.847
10:22:00 AM,23.064,21.533,21.061
10:23:00 AM,23.134,21.576,21.490
10:24:00 AM,23.118,21.919,21.576
10:25:00 AM,23.141,21.533,21.619
10:26:00 AM,23.267,21.834,21.962
10:27:00 AM,23.260,22.091,21.791
10:28:00 AM,23.292,22.348,21.876
10:29:00 AM,23.979,22.177,22.177
10:30:00 AM,24.450,22.692,22.434
10:31:00 AM,24.107,22.734,22.348
10:32:00 AM,23.635,22.391,22.263
10:33:00 AM,23.421,22.734,22.520
10:34:00 AM,23.464,22.906,22.949
10:35:00 AM,23.550,22.863,22.949
10:36:00 AM,23.635,22.863,22.863
10:37:00 AM,23.850,22.863,23.163
10:38:00 AM,23.335,22.906,23.078
10:39:00 AM,20.375,22.520,22.477
10:40:00 AM,19.860,20.547,21.104
10:41:00 AM,19.431,20.418,19.731
10:42:00 AM,19.774,20.375,19.560
10:43:00 AM,21.405,19.860,20.547
10:44:00 AM,21.919,19.946,23.550
10:45:00 AM,22.520,20.675,25.909
10:46:00 AM,24.665,20.847,27.925
10:47:00 AM,23.335,20.632,29.641
10:48:00 AM,22.305,20.761,30.542
10:49:00 AM,22.348,20.847,31.615
10:50:00 AM,22.820,21.276,32.044
10:51:00 AM,23.078,21.362,32.344
10:52:00 AM,22.949,21.276,32.387
10:53:00 AM,22.992,21.104,32.773
10:54:00 AM,23.421,20.933,32.602
10:55:00 AM,23.206,20.632,32.559
10:56:00 AM,23.550,20.418,33.116
10:57:00 AM,23.249,21.018,32.945
