hora,zona_alta,zona_media
10:21:00 AM,20.673,23.121
10:22:00 AM,20.376,23.335
10:23:00 AM,21.769,23.464
10:24:00 AM,21.911,23.421
10:25:00 AM,21.817,23.249
10:26:00 AM,22.123,23.507
10:27:00 AM,21.856,23.507
10:28:00 AM,21.819,24.021
10:29:00 AM,21.133,23.764
10:30:00 AM,20.327,24.236
10:31:00 AM,20.745,24.365
10:32:00 AM,21.919,24.279
10:33:00 AM,22.606,24.236
10:34:00 AM,23.035,24.708
10:35:00 AM,23.807,24.751
10:36:00 AM,24.365,24.579
10:37:00 AM,24.365,24.408
10:38:00 AM,24.322,24.622
10:39:00 AM,20.761,24.665
10:40:00 AM,20.160,21.533
10:41:00 AM,19.731,20.761
10:42:00 AM,19.517,21.018
10:43:00 AM,19.388,20.461
10:44:00 AM,19.560,20.332
10:45:00 AM,20.160,21.619
10:46:00 AM,20.246,23.979
10:47:00 AM,20.632,25.351
10:48:00 AM,26.166,26.295
10:49:00 AM,28.440,26.638
10:50:00 AM,29.770,26.982
10:51:00 AM,29.899,27.153
10:52:00 AM,30.628,27.925
10:53:00 AM,31.014,27.882
10:54:00 AM,31.486,27.368
10:55:00 AM,31.229,26.896
10:56:00 AM,32.044,26.724
10:57:00 AM,32.215,27.024
10:58:00 AM,32.773,27.024
10:59:00 AM,32.816,27.711
11:00:00 AM,32.559,27.496
11:01:00 AM,32.902,27.368
11:02:00 AM,33.116,27.453
11:03:00 AM,33.417,27.625
11:04:00 AM,33.717,27.325
11:05:00 AM,33.374,27.711
11:06:00 AM,32.988,27.239
11:07:00 AM,32.087,27.453
11:08:00 AM,32.516,27.282
11:09:00 AM,32.344,26.810
11:10:00 AM,31.229,27.496
11:11:00 AM,31.701,27.496
11:12:00 AM,32.430,26.681
11:13:00 AM,32.816,27.282
11:14:00 AM,32.087,27.368
11:15:00 AM,32.602,27.882
11:16:00 AM,31.315,28.226
11:17:00 AM,30.113,28.354
11:18:00 AM,30.714,28.054
11:19:00 AM,30.414,28.483
11:20:00 AM,30.843,27.668
11:21:00 AM,31.143,27.668
11:22:00 AM,30.585,28.655
11:23:00 AM,30.800,28.226
11:24:00 AM,31.229,27.968
11:25:00 AM,31.872,27.840
11:26:00 AM,32.087,27.882
11:27:00 AM,32.258,27.411
11:28:00 AM,32.773,27.153
11:29:00 AM,32.473,27.840
11:30:00 AM,32.387,27.539
11:31:00 AM,31.186,28.397
11:32:00 AM,31.572,27.582
11:33:00 AM,31.615,27.411
11:34:00 AM,31.872,27.582
11:35:00 AM,32.087,27.625
11:36:00 AM,31.958,27.539
11:37:00 AM,32.687,27.239
11:38:00 AM,32.859,27.711
11:39:00 AM,32.473,28.054
11:40:00 AM,33.202,27.754
11:41:00 AM,33.460,27.968
11:42:00 AM,32.559,28.140
11:43:00 AM,31.701,28.612
11:44:00 AM,32.387,28.440
11:45:00 AM,32.130,29.427
11:46:00 AM,32.730,28.311
11:47:00 AM,32.559,29.084
11:48:00 AM,31.915,28.526
11:49:00 AM,32.258,28.826
11:50:00 AM,32.687,29.041
11:51:00 AM,33.245,29.684
11:52:00 AM,33.760,29.641
11:53:00 AM,33.502,29.341
11:54:00 AM,34.017,28.826
11:55:00 AM,34.403,29.255
11:56:00 AM,35.218,28.397
11:57:00 AM,35.991,28.097
11:58:00 AM,35.004,28.311
11:59:00 AM,35.090,28.569
